0,perform,6153,,,1,perform,5892
0,manag,5250,,,1,manag,4777
0,employe,4849,,,1,environment,4701
0,practic,4266,,,1,firm,4200
0,human,3162,,,1,corpor,3714
0,resourc,3146,,,1,social,3282
0,effect,2932,,,1,market,3244
0,use,2896,,,1,journal,2858
0,organiz,2762,,,1,studi,2575
0,measur,2623,,,1,use,2538
0,turnov,2621,,,1,csr,2360
0,work,2578,,,1,respons,2231
0,studi,2556,,,1,measur,2208
0,organ,2358,,,1,reput,2195
0,research,2201,,,1,compani,2164
0,journal,2073,,,1,research,2146
0,variabl,2005,,,1,busi,2053
0,result,1960,,,1,variabl,2003
0,model,1954,,,1,industri,1986
0,custom,1936,,,1,product,1918
